Всего по республике:;2 365 416;843 189;69 591;1 400 807;51 828;2 914 555;961 140;140 519;1 707 820;105 076;2 630 123;1 050 233;153 730;1 388 872;37 288;2 870 413;1 177 159;196 770;1 447 545;48 940;2 780 829;1 154 223;142 751;1 446 012;37 843;3 040 089;1 131 723;222 603;1 616 356;69 407;3 132 601;1 218 212;121 928;1 744 267;48 194;3 109 071;1 195 678;138 904;1 683 783;90 705;3 211 820;1 264 445;119 416;1 701 190;126 769;3 178 487;1 140 933;199 014;1 774 378;64 162;3 638 089;1 404 328;192 869;1 858 438;182 454;4 023 903;1 383 778;309 770;2 206 055;124 300;36 895 396;13 925 042;2 007 865;19 975 521;986 967
г. Шымкент;122 772;20 095;68;99 939;2 670;142 793;24 166;133;117 594;901;138 088;38 697;1 669;95 188;2 534;143 989;37 085;63;106 131;709;142 379;34 052;824;103 008;4 495;157 349;39 333;628;117 297;90;160 474;37 667;81;122 146;580;162 805;40 756;315;121 451;282;217 234;43 345;4 403;169 426;60;163 066;35 688;1 108;126 269;0;178 724;36 395;3 007;139 321;0;224 267;48 003;2 653;173 612;0;1 953 939;435 282;14 952;1 491 382;12 322
;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;
;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Юридическим лицам*, всего:;1 018 351;632 104;69 282;265 672;51 294;1 304 342;746 282;140 283;313 159;104 618;1 125 927;772 858;153 403;163 366;36 300;1 288 159;874 765;196 535;168 453;48 405;1 179 712;857 597;142 468;142 377;37 270;1 295 926;829 942;222 391;174 660;68 932;1 255 156;888 151;121 200;198 259;47 546;1 289 824;906 830;138 837;154 045;90 112;1 416 294;944 806;119 398;225 885;126 205;1 367 250;830 791;199 013;273 843;63 603;1 678 630;1 093 439;192 869;210 396;181 927;2 000 214;1 090 790;309 770;475 919;123 735;16 219 784;10 468 355;2 005 449;2 766 034;979 946
Абай;6 376;2 565;0;3 811;0;10 533;3 873;0;6 660;0;11 155;5 612;674;4 868;0;11 690;5 644;0;6 046;0;10 705;6 241;0;4 463;0;12 391;7 249;0;5 142;0;13 163;9 292;0;3 871;;14 876;6 773;0;8 103;;14 876;8 415;0;6 461;;16 950;10 429;0;6 521;;17 683;10 760;903;6 021;;15 712;9 231;125;6 356;;156 110;86 085;1 701;68 324;0
Акмолинская;5 271;2 372;128;2 771;0;8 668;2 840;829;2 286;2 713;14 955;5 526;1 508;7 921;0;11 382;9 240;93;2 049;0;7 862;5 571;139;2 152;0;7 567;5 047;241;2 279;0;6 314;4 708;227;1 379;0;9 320;7 279;291;1 750;0;7 707;4 903;419;2 385;0;8 345;4 736;0;3 609;0;7 626;5 158;0;2 468;0;17 750;6 916;0;10 834;0;112 767;64 296;3 874;41 883;2 713
Актюбинская;11 210;7 822;;3 146;241;16 382;12 609;;3 546;227;19 689;15 177;;4 004;508;21 311;15 619;;5 692;0;21 471;16 009;;5 461;0;20 451;15 904;;4 547;0;19 310;16 065;;3 245;0;18 590;15 904;;2 686;0;22 228;17 588;;4 640;0;21 334;17 312;;4 022;0;33 232;27 861;;5 371;0;41 320;35 234;;6 086;0;266 527;213 105;0;52 446;976
Алматинская ;3 629;186;;3 443;0;3 483;223;;3 260;0;3 272;1 353;;1 919;0;4 328;2 455;;1 873;0;4 849;1 050;;3 799;0;5 565;2 314;;3 251;0;4 015;1 800;;2 215;;3 908;2 128;;1 780;;5 486;3 098;;2 388;;7 122;2 680;;4 442;;3 739;1 445;;2 293;;12 068;4 969;;7 099;;61 466;23 703;0;37 763;0
