Всего по республике:;1 744 848;805 004;56 727;797 452;85 665;1 810 209;853 810;69 789;865 978;20 632;2 201 971;803 340;68 294;1 294 090;36 246;2 463 410;779 704;63 878;1 552 451;67 378;2 533 355;934 168;86 659;1 470 396;42 132;2 526 307;840 154;92 630;1 552 388;41 135;2 640 100;714 943;68 384;1 779 526;77 247;2 817 271;885 951;92 448;1 640 717;198 154;2 576 844;989 093;61 656;1 487 201;38 895;2 687 681;897 879;70 224;1 608 316;111 263;2 950 429;938 601;73 796;1 831 685;106 347;3 764 049;1 183 812;241 825;1 998 167;340 244;30 716 473;10 626 459;1 046 310;17 878 367;1 165 337;;
;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;;
;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Юридическим лицам*, всего:;819 570;587 064;56 716;90 922;84 867;819 622;646 373;69 780;83 446;20 023;1 014 366;595 520;68 063;315 370;35 413;1 193 276;593 955;63 746;469 019;66 557;1 132 614;711 189;86 221;293 758;41 446;1 125 623;633 706;92 390;359 093;40 434;936 741;518 267;68 181;273 834;76 459;1 268 012;665 607;92 166;312 683;197 555;1 158 830;653 018;61 476;406 406;37 931;1 202 952;656 648;70 026;365 648;110 631;1 273 038;717 697;73 397;376 217;105 728;2 100 832;902 879;241 527;616 772;339 654;14 045 476;7 881 923;1 043 687;3 963 170;1 156 696;;
Абай;1 687;775;0;912;0;1 430;561;0;869;0;7 452;2 597;0;4 855;0;9 715;1 135;0;5 770;2 810;10 953;3 070;34;7 000;850;11 519;7 034;0;3 815;671;6 429;3 030;0;3 399;0;7 214;2 107;;5 108;0;8 896;1 264;567;7 065;0;9 065;1 584;0;7 481;0;11 788;1 019;0;10 769;0;10 512;4 613;0;5 900;0;96 662;28 790;601;62 940;4 331;;
Акмолинская;3 635;3 401;0;234;0;6 278;4 748;63;1 467;0;9 221;5 281;0;3 940;0;10 338;6 968;1 355;2 015;0;13 420;8 810;0;4 610;0;10 385;3 430;0;6 955;0;6 573;2 373;0;4 200;0;10 061;2 474;4 940;2 647;0;7 409;3 563;800;3 047;0;7 683;4 073;172;3 438;0;8 113;3 955;0;4 158;0;14 287;4 530;0;9 757;0;107 403;53 605;7 330;46 468;0;;
Актюбинская;17 125;13 258;0;3 867;0;15 859;13 136;0;2 723;0;18 704;12 035;170;6 469;30;20 560;13 749;398;6 368;44;18 102;10 917;0;7 184;0;20 035;13 568;0;5 679;788;14 043;10 251;0;3 792;0;17 963;12 886;0;4 660;417;15 714;10 441;0;5 007;266;18 886;15 207;0;3 286;393;24 006;15 227;;8 033;747;31 375;18 913;;12 463;0;232 374;159 589;568;69 533;2 684;;
Алматинская ;2 144;839;;1 305;0;3 255;1 496;;1 759;0;3 788;630;;3 158;0;4 348;857;;3 491;0;4 329;297;;4 033;0;4 615;288;;4 327;0;1 461;48;;1 413;0;5 370;790;;4 580;0;2 695;581;;2 113;0;4 283;273;;4 011;0;5 434;976;;4 457;0;9 379;540;;8 839;0;51 101;7 616;0;43 485;0;;
Атырауская;13 493;10 247;2 149;1 096;0;13 902;10 321;1 956;1 624;0;11 505;6 264;682;4 559;0;24 840;8 425;2 258;14 157;0;19 603;6 929;419;12 256;0;13 149;6 927;898;5 325;0;12 960;5 647;672;6 641;0;19 733;9 327;1 289;9 117;0;17 864;9 782;951;7 131;0;17 827;10 760;382;6 685;0;28 504;10 934;1 794;15 776;0;25 299;13 103;2 430;9 765;0;218 679;108 667;15 879;94 132;0;;
Восточно-Казахстанская;9 470;8 130;0;1 341;0;22 315;19 807;0;2 507;0;15 910;9 517;0;6 393;0;21 919;8 671;0;13 248;0;26 892;17 269;0;9 623;0;15 973;9 074;0;6 899;0;15 260;8 517;0;6 742;0;12 497;7 841;0;4 656;0;29 671;9 476;;20 195;0;41 864;23 836;1 432;16 595;0;30 440;10 870;0;19 570;0;31 465;13 912;0;17 553;0;273 675;146 919;1 432;125 324;0;;
