Монетарный обзор по банкам,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
млн. тенге/ на конец периода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Требования к домашним хозяйствам,10928096.0,11196277.0,11308860.0,11487993.0,11735444.0,12106694.0,12533282.0,12902535.0,13217488.0,13543324.0,14073622.0,14243981.0,14364061.0,14514494.0,14759788.0,15058224.0,15408479.0,15755650.0,16362053.0,16808438.0,17140834.0,17460354.0,17945286.0,18331749.0,18569778.0,18980948.0,19330448.0,19608039.0,19920329.0,20355533.0,20812272.0,21294738.0,21622617.0,22025332.0,22612370.0,22998054.0,23134187.0,23444837.0,23784641.0,24210515.0,24654132.0,25165458.0,25667941.0,26560939.0,26923869.0,27225661.0,27584615.0
Прочие чистые активы,-6561344.0,-6691730.0,-6742842.0,-6781176.0,-6924825.0,-6789380.0,-7222506.0,-7305568.0,-7368563.0,-7497118.0,-7700453.0,-7674314.0,-7891205.0,-8180672.0,-8260445.0,-8507659.0,-8604655.0,-8424362.0,-8532847.0,-8694268.0,-8815641.0,-8970056.0,-9187252.0,-9377040.0,-9638537.0,-9892039.0,-10037383.0,-10197709.0,-10218581.0,-10292756.0,-10400575.0,-10667961.0,-10901024.0,-11091408.0,-11394284.0,-11559618.0,-11743013.0,-11913622.0,-12136260.0,-12121965.0,-11819101.0,-12078913.0,-12236742.0,-12585163.0,-12451172.0,-12649561.0,-13106404.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пассивы,29371333.0,30333959.0,29119856.0,28407017.0,27724193.0,29473862.0,30286460.0,31116892.0,32015695.0,32558317.0,32587235.0,33671020.0,33086419.0,32739673.0,33448507.0,32952054.0,33248484.0,34572738.0,34252767.0,34349799.0,35014523.0,35550341.0,36078612.0,37694402.0,37147608.0,37713542.0,38323445.0,37917437.0,38290083.0,39794537.0,41121616.0,41163029.0,41669804.0,41998873.0,42732520.0,44860808.0,43794980.0,43558519.0,44171345.0,44672058.0,45497211.0,46444156.0,46861990.0,47744322.0,47820154.0,48570576.0,48368221.0
Переводимые депозиты,7718825.0,8482962.0,8343433.0,7591554.0,7137627.0,7716044.0,7930724.0,8001693.0,7986210.0,8419213.0,8092112.0,8187666.0,7733435.0,7354805.0,7414196.0,7185230.0,7339152.0,7436731.0,7213540.0,7262084.0,7195871.0,7305154.0,7398049.0,7691930.0,7232140.0,7261267.0,6905669.0,7094550.0,7210717.0,7700961.0,8209019.0,7821869.0,8054661.0,8021184.0,7942084.0,8570023.0,7832366.0,7673849.0,7957927.0,8100735.0,8203512.0,8493084.0,8315451.0,8355311.0,8113469.0,8099009.0,8019769.0
Другие депозиты,17064699.0,17310557.0,16659086.0,16697983.0,16340956.0,17704183.0,18624307.0,18959638.0,19803890.0,20032294.0,19971035.0,21059848.0,20988878.0,20647120.0,21269263.0,21122855.0,21076189.0,21674075.0,21921508.0,21907789.0,22243737.0,22759221.0,22758565.0,24413188.0,24527406.0,24837671.0,25828037.0,25276071.0,25454731.0,26349078.0,26932441.0,27094554.0,27337202.0,28084440.0,28644843.0,30538326.0,30222131.0,30158541.0,30280216.0,31298683.0,31568214.0,32108152.0,32495304.0,32871993.0,33932911.0,34772776.0,34408816.0
Ценные бумаги,1853673.0,1869090.0,1867252.0,1876596.0,1880428.0,1954094.0,1963678.0,1952539.0,1969131.0,1980299.0,1974310.0,1985457.0,1993160.0,1928659.0,1938454.0,1950051.0,2052311.0,2049344.0,2226037.0,2233919.0,2664115.0,2808292.0,2802454.0,2793003.0,2800804.0,2769373.0,2769697.0,2584006.0,2616571.0,2664213.0,2984100.0,2980706.0,3034793.0,3055788.0,3072014.0,3020540.0,3042924.0,2919445.0,2823756.0,2872804.0,2894650.0,3125788.0,2911327.0,3202502.0,3188708.0,3115745.0,3028963.0
Финансовые деривативы,35661.0,74850.0,94205.0,127829.0,155562.0,128327.0,89076.0,21713.0,132890.0,55163.0,53353.0,74613.0,55162.0,16313.0,46308.0,72577.0,116099.0,43684.0,56870.0,33823.0,69564.0,67664.0,64026.0,159536.0,27875.0,17776.0,64154.0,7656.0,7935.0,17876.0,6899.0,4965.0,4983.0,7864.0,17349.0,8600.0,16567.0,14344.0,11006.0,12682.0,12578.0,9922.0,22710.0,8975.0,11837.0,11794.0,24347.0
Кредиты,1968858.0,1851270.0,1481302.0,1482493.0,1695730.0,1437274.0,1102993.0,1456794.0,1340515.0,1306580.0,1659615.0,1606866.0,1538294.0,2102640.0,2081640.0,1822551.0,1920638.0,2639648.0,2127619.0,2173858.0,2179177.0,2032081.0,2465861.0,2129723.0,2033553.0,2322938.0,2341457.0,2344438.0,2461252.0,2506767.0,2476055.0,2726651.0,2754708.0,2260190.0,2454223.0,2195351.0,2204048.0,2410999.0,2571943.0,1946740.0,2385877.0,2337933.0,2520315.0,3013784.0,2352356.0,2234759.0,2672746.0
Другие счета к оплате,729616.0,745230.0,674579.0,630561.0,513889.0,533940.0,575682.0,724515.0,783059.0,764767.0,836810.0,756571.0,777490.0,690136.0,698647.0,798790.0,744096.0,729257.0,707193.0,738327.0,662060.0,577931.0,589657.0,507022.0,525832.0,504518.0,414431.0,610715.0,538877.0,555643.0,513101.0,534284.0,483459.0,569407.0,602006.0,527969.0,476944.0,381341.0,526496.0,440413.0,432380.0,369277.0,596884.0,291757.0,220874.0,336493.0,213580.0
