Денежная база и агрегаты широкой денежной массы,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
млн. тенге/ на конец периода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. M2,23424245.0,23868588.0,23388580.0,23174386.0,22903738.0,24147388.0,25032674.0,24940660.0,25826059.0,26810878.0,26259950.0,28025384.0,27666853.0,27173136.0,28110277.0,27970918.0,28327691.0,29274455.0,28852963.0,29291631.0,29720800.0,30356335.0,30487873.0,32746913.0,32108968.0,32282269.0,32535362.0,32526218.0,32798150.0,34127039.0,34948176.0,34791388.0,35352799.0,36406866.0,36507596.0,39254670.0,38324394.0,38215991.0,38357906.0,39185725.0,39492750.0,40623855.0,40746378.0,41091093.0,41626870.0,42462331.0,42192683.0
Изменения за месяц в %,-1.4,1.9,-2.0,-0.9,-1.2,5.4,3.7,-0.4,3.6,3.8,-2.1,6.7,-1.3,-1.8,3.4,-0.5,1.3,3.3,-1.4,1.5,1.5,2.1,0.4,7.4,-1.9,0.5,0.8,,0.8,4.1,2.4,-0.4,1.6,3.0,0.3,7.5,-2.4,-0.3,0.4,2.2,0.8,2.9,0.3,0.8,1.3,2.0,-0.6
"Изменение за период с начала года, %",-1.4,0.5,-1.5,-2.4,-3.6,1.7,5.4,5.0,8.7,12.9,10.6,18.0,-1.3,-3.0,0.3,-0.2,1.1,4.5,3.0,4.5,6.0,8.3,8.8,16.8,-1.9,-1.4,-0.6,-0.7,0.2,4.2,6.7,6.2,8.0,11.2,11.5,19.9,-2.4,-2.6,-2.3,-0.2,0.6,3.5,3.8,4.7,6.0,8.2,7.5
4.1 другие депозиты в тенге и переводимые депозиты в иностранной валюте населения,7247166.0,7416232.0,7232975.0,7299062.0,7409708.0,7701985.0,7956284.0,8120771.0,8364771.0,8644433.0,8884439.0,9651760.0,9774903.0,9915763.0,10162080.0,10243922.0,10398117.0,10788267.0,11056279.0,11249417.0,11562867.0,11813809.0,12055329.0,12884736.0,13000075.0,13182736.0,13355270.0,13477555.0,13702633.0,14029811.0,14370902.0,14683593.0,14950784.0,15283071.0,15397428.0,16026936.0,16034376.0,16004874.0,16171105.0,16573144.0,16795584.0,17278540.0,17674053.0,17974984.0,18295122.0,18447225.0,18502600.0
4.2 другие депозиты в тенге и переводимые депозиты в иностранной валюте небанковских юридических лиц,7408342.0,7508133.0,7229458.0,7376722.0,7115970.0,7554016.0,8191680.0,8018352.0,8753408.0,9320439.0,8332781.0,8991169.0,9001458.0,8651145.0,9355771.0,9074767.0,8981108.0,8734070.0,8350405.0,8684129.0,8741118.0,9121371.0,9001478.0,9481293.0,9555891.0,9441208.0,9777764.0,9088232.0,8976146.0,9440275.0,9552103.0,9302542.0,9564583.0,10456005.0,10719443.0,11863691.0,11730333.0,11680319.0,11955057.0,12034091.0,12089783.0,12013065.0,11999727.0,11916199.0,11966569.0,12850965.0,12356218.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. M3 (денежная масса),29800211.0,30711812.0,29516985.0,28984211.0,28319198.0,30423168.0,31396334.0,31568273.0,32479007.0,33311554.0,32768405.0,34295955.0,33834408.0,32982975.0,33902054.0,33644434.0,33980560.0,34713586.0,34215812.0,34486768.0,34975250.0,35566812.0,35674585.0,38301572.0,37395436.0,37751784.0,38103439.0,37917435.0,38160695.0,39657718.0,40470122.0,40251757.0,40719718.0,41896992.0,42612787.0,45660003.0,44684135.0,44674562.0,44753027.0,45724073.0,45942565.0,46895559.0,47189297.0,47618385.0,48139408.0,49331768.0,49027468.0
Изменения за месяц в %,-1.0,3.1,-3.9,-1.8,-2.3,7.4,3.2,0.5,2.9,2.6,-1.6,4.7,-1.3,-2.5,2.8,-0.8,1.0,2.2,-1.4,0.8,1.4,1.7,0.3,7.4,-2.4,1.0,0.9,-0.5,0.6,3.9,2.0,-0.5,1.2,2.9,1.7,7.2,-2.1,,0.2,2.2,0.5,2.1,0.6,0.9,1.1,2.5,-0.6
"Изменение за период с начала года, %",-1.0,2.0,-1.9,-3.7,-5.9,1.1,4.3,4.9,7.9,10.7,8.9,13.9,-1.3,-3.8,-1.1,-1.9,-0.9,1.2,-0.2,0.6,2.0,3.7,4.0,11.7,-2.4,-1.4,-0.5,-1.0,-0.4,3.5,5.7,5.1,6.3,9.4,11.3,19.2,-2.1,-2.2,-2.0,0.1,0.6,2.7,3.3,4.3,5.4,8.0,7.4
5.1 другие депозиты населения в иностранной валюте,4147588.0,4625646.0,4082538.0,3873735.0,3654508.0,4058040.0,4083224.0,4025625.0,3999253.0,3949852.0,4130530.0,4190457.0,4201277.0,4001288.0,3942882.0,3881839.0,3814890.0,3751752.0,3652335.0,3573457.0,3609473.0,3537966.0,3457374.0,3822940.0,3660999.0,3670439.0,3617963.0,3574906.0,3557901.0,3715633.0,3653248.0,3620692.0,3597405.0,3614476.0,3913530.0,4167527.0,4144374.0,4202305.0,4190245.0,4195182.0,4066498.0,3983156.0,4012507.0,3988416.0,3993516.0,4136643.0,4020078.0
5.2 другие депозиты небанковских юридических лиц в иностранной валюте,2228378.0,2217578.0,2045866.0,1936090.0,1760951.0,2217740.0,2280435.0,2601987.0,2653695.0,2550823.0,2377925.0,2080113.0,1966278.0,1808551.0,1848895.0,1791677.0,1837979.0,1687379.0,1710513.0,1621680.0,1644978.0,1672512.0,1729339.0,1731719.0,1625470.0,1799076.0,1950114.0,1816311.0,1804643.0,1815046.0,1868699.0,1839677.0,1769513.0,1875650.0,2191662.0,2237805.0,2215367.0,2256266.0,2204877.0,2343167.0,2383316.0,2288548.0,2430411.0,2538876.0,2519022.0,2732795.0,2814706.0
